Municípios,Código municipal,UF,domicílios
Buíque,2602803,PE,22154
Bujari,1200138,AC,5845
Bujaru,1501907,PA,8916
Buri,3508009,SP,8586
Buritama,3508108,SP,9764
Buriti,2102200,MA,9907
Buriti Alegre,5203906,GO,5993
Buriti Bravo,2102309,MA,8641
Buriti de Goiás,5203939,GO,1456
Buriti do Tocantins,1703800,TO,3004
Buriti dos Lopes,2202000,PI,7628
Buriti dos Montes,2202026,PI,3457
Buriticupu,2102325,MA,21077
Buritinópolis,5203962,GO,1492
Buritirama,2904753,BA,7868
Buritirana,2102358,MA,5553
Buritis,1100452,RO,13246
Buritis,3109303,MG,11690
Buritizal,3508207,SP,2042
Buritizeiro,3109402,MG,11084
Butiá,4302709,RS,9091
Caapiranga,1300839,AM,3207
Caaporã,2503001,PB,8329
Caarapó,5002407,MS,11719
Caatiba,2904803,BA,2908
Cabaceiras,2503100,PB,2567
Cabaceiras do Paraguaçu,2904852,BA,6893
Cabeceira Grande,3109451,MG,3896
Cabeceiras,5204003,GO,3540
Cabeceiras do Piauí,2202059,PI,3885
Cabedelo,2503209,PB,33796
Cabixi,1100031,RO,2927
Cabo de Santo Agostinho,2602902,PE,99258
Cabo Frio,3300704,RJ,155521
Cabo Verde,3109501,MG,5884
Cabrália Paulista,3508306,SP,1923
Cabreúva,3508405,SP,18788
Cabrobó,2603009,PE,13057
Caçador,4203006,SC,29729
Caçapava,3508504,SP,40105
Caçapava do Sul,4302808,RS,18383
Cacaulândia,1100601,RO,2274
Cacequi,4302907,RS,5312
Cáceres,5102504,MT,39844
Cachoeira,2904902,BA,15587
Cachoeira Alta,5204102,GO,5793
Cachoeira da Prata,3109600,MG,1771
Cachoeira de Goiás,5204201,GO,889
Cachoeira de Minas,3109709,MG,5899
Cachoeira de Pajeú,3102704,MG,4192
Cachoeira do Arari,1502004,PA,7320
Cachoeira do Piriá,1501956,PA,7239
Cachoeira do Sul,4303004,RS,39091
Cachoeira dos Índios,2503308,PB,4151
Cachoeira Dourada,3109808,MG,1241
Cachoeira Dourada,5204250,GO,4037
Cachoeira Grande,2102374,MA,3316
Cachoeira Paulista,3508603,SP,14684
Cachoeiras de Macacu,3300803,RJ,30660
Cachoeirinha,1703826,TO,790
Cachoeirinha,2603108,PE,9439
Cachoeirinha,4303103,RS,60602
Cachoeiro de Itapemirim,3201209,ES,83793
Cacimba de Areia,2503407,PB,1923
Cacimba de Dentro,2503506,PB,7703
Cacimbas,2503555,PB,3299
Cacimbinhas,2701209,AL,4623
Cacique Doble,4303202,RS,1904
Cacoal,1100049,RO,40930
Caconde,3508702,SP,8922
Caçu,5204300,GO,6793
Caculé,2905008,BA,10614
Caém,2905107,BA,5094
Caetanópolis,3109907,MG,6278
Caetanos,2905156,BA,4814
Caeté,3110004,MG,18632
Caetés,2603207,PE,11536
Caetité,2905206,BA,24459
Cafarnaum,2905305,BA,8133
Cafeara,4103404,PR,1220
Cafelândia,3508801,SP,7809
Cafelândia,4103453,PR,7381
Cafezal do Sul,4103479,PR,2115
Caiabu,3508900,SP,2004
Caiana,3110103,MG,2450
Caiapônia,5204409,GO,8462
Caibaté,4303301,RS,2331
Caibi,4203105,SC,2574
Caiçara,2503605,PB,2926
Caiçara,4303400,RS,2214
Caiçara do Norte,2401859,RN,2594
Caiçara do Rio do Vento,2401909,RN,1407
Caicó,2402006,RN,27198
Caieiras,3509007,SP,36860
Cairu,2905404,BA,10442
Caiuá,3509106,SP,2259
Cajamar,3509205,SP,38908
Cajapió,2102408,MA,3658
Cajari,2102507,MA,5786
Cajati,3509254,SP,12259
Cajazeiras,2503704,PB,29792
Cajazeiras do Piauí,2202075,PI,1390
Cajazeirinhas,2503753,PB,1321
Cajobi,3509304,SP,4312
Cajueiro,2701308,AL,5967
Cajueiro da Praia,2202083,PI,3608
Cajuri,3110202,MG,1789
Cajuru,3509403,SP,11008
Calçado,2603306,PE,4946
Calçoene,1600204,AP,3965
Caldas,3110301,MG,8548
Caldas Brandão,2503803,PB,2587
Caldas Novas,5204508,GO,69298
Caldazinha,5204557,GO,2657
Caldeirão Grande,2905503,BA,6124
Caldeirão Grande do Piauí,2202091,PI,2624
Califórnia,4103503,PR,3934
Calmon,4203154,SC,1425
Calumbi,2603405,PE,2569
Camacan,2905602,BA,11746
Camaçari,2905701,BA,177233
Camacho,3110400,MG,1465
Camalaú,2503902,PB,3610
Camamu,2905800,BA,15567
Camanducaia,3110509,MG,13969
Camapuã,5002605,MS,6803
Camaquã,4303509,RS,28366
Camaragibe,2603454,PE,66583
Camargo,4303558,RS,1306
Cambará,4103602,PR,9864
Cambará do Sul,4303608,RS,3343
Cambé,4103701,PR,45353
Cambira,4103800,PR,4182
Camboriú,4203204,SC,41447
Cambuci,3300902,RJ,7673
Cambuí,3110608,MG,14408
Cambuquira,3110707,MG,6014
Cametá,1502103,PA,39905
Camocim,2302602,CE,25570
Camocim de São Félix,2603504,PE,7648
Campanário,3110806,MG,1685
Campanha,3110905,MG,7261
Campestre,2701357,AL,2501
Campestre,3111002,MG,10618
Campestre da Serra,4303673,RS,1819
Campestre de Goiás,5204607,GO,1789
Campestre do Maranhão,2102556,MA,4951
Campina da Lagoa,4103909,PR,6972
Campina das Missões,4303707,RS,2667
Campina do Monte Alegre,3509452,SP,3650
Campina do Simão,4103958,PR,1809
Campina Grande,2504009,PB,183901
Campina Grande do Sul,4104006,PR,20892
Campina Verde,3111101,MG,10448
Campinaçu,5204656,GO,2168
Campinápolis,5102603,MT,4655
Campinas,3509502,SP,501951
Campinas do Piauí,2202109,PI,2567
Campinas do Sul,4303806,RS,2596
Campinorte,5204706,GO,5533
Campo Alegre,2701407,AL,12176
Campo Alegre,4203303,SC,6197
Campo Alegre de Goiás,5204805,GO,3469
Campo Alegre de Lourdes,2905909,BA,14585
Campo Alegre do Fidalgo,2202117,PI,2384
Campo Azul,3111150,MG,1704
Campo Belo,3111200,MG,24330
Campo Belo do Sul,4203402,SC,3520
Campo Bom,4303905,RS,27222
Campo Bonito,4104055,PR,1763
Campo do Brito,2801009,SE,8861
Campo do Meio,3111309,MG,5452
Campo do Tenente,4104105,PR,3117
Campo Erê,4203501,SC,4014
Campo Florido,3111408,MG,3778
Campo Formoso,2906006,BA,34437
Campo Grande,2401305,RN,4168
Campo Grande,2701506,AL,3380
Campo Grande,5002704,MS,392791
Campo Grande do Piauí,2202133,PI,2952
Campo Largo,4104204,PR,58179
Campo Largo do Piauí,2202174,PI,2658
Campo Limpo de Goiás,5204854,GO,3308
Campo Limpo Paulista,3509601,SP,31060
Campo Magro,4104253,PR,12463
Campo Maior,2202208,PI,19523
Campo Mourão,4104303,PR,43415
Campo Novo,4304002,RS,2210
Campo Novo de Rondônia,1100700,RO,4820
Campo Novo do Parecis,5102637,MT,16855
Campo Redondo,2402105,RN,4608
Campo Verde,5102678,MT,17442
Campos Altos,3111507,MG,5750
Campos Belos,5204904,GO,8391
Campos Borges,4304101,RS,1845
Campos de Júlio,5102686,MT,3595
Campos do Jordão,3509700,SP,27197
Campos dos Goytacazes,3301009,RJ,234068
Campos Gerais,3111606,MG,13133
Campos Lindos,1703842,TO,3033
Campos Novos,4203600,SC,15848
Campos Novos Paulista,3509809,SP,2214
Campos Sales,2302701,CE,12662
Campos Verdes,5204953,GO,2240
Camutanga,2603603,PE,3147
Cana Verde,3111903,MG,3018
Canaã,3111705,MG,2203
Canaã dos Carajás,1502152,PA,28605
Canabrava do Norte,5102694,MT,2171
Cananéia,3509908,SP,7036
Canapi,2701605,AL,7778
Canápolis,2906105,BA,4578
Canápolis,3111804,MG,4823
Canarana,2906204,BA,11409
Canarana,5102702,MT,10048
Canas,3509957,SP,1843
Canavieira,2202251,PI,1807
Canavieiras,2906303,BA,17067
Candeal,2906402,BA,4060
Candeias,2906501,BA,37141
Candeias,3112000,MG,7606
Candeias do Jamari,1100809,RO,10983
Candelária,4304200,RS,14095
Candiba,2906600,BA,6628
Cândido de Abreu,4104402,PR,6911
Cândido Godói,4304309,RS,2747
Cândido Mendes,2102606,MA,7019
Cândido Mota,3510005,SP,13110
Cândido Rodrigues,3510104,SP,1352
Cândido Sales,2906709,BA,11687
Candiota,4304358,RS,4861
Candói,4104428,PR,6808
Canela,4304408,RS,24667
Canelinha,4203709,SC,5798
Canguaretama,2402204,RN,12592
Canguçu,4304507,RS,24699
Canhoba,2801108,SE,1868
Canhotinho,2603702,PE,9994
Canindé,2302800,CE,33619
Canindé de São Francisco,2801207,SE,11909
Canitar,3510153,SP,2440
Canoas,4304606,RS,155478
Canoinhas,4203808,SC,22592
Cansanção,2906808,BA,16504
Cantá,1400175,RR,8597
Cantagalo,3112059,MG,1890
Cantagalo,3301108,RJ,9433
Cantagalo,4104451,PR,4640
Cantanhede,2102705,MA,6554
Canto do Buriti,2202307,PI,9330
Canudos,2906824,BA,7635
Canudos do Vale,4304614,RS,804
Canutama,1300904,AM,5877
Capanema,1502202,PA,27668
Capanema,4104501,PR,8409
Capão Alto,4203253,SC,1715
Capão Bonito,3510203,SP,19480
Capão Bonito do Sul,4304622,RS,986
Capão da Canoa,4304630,RS,59251
Capão do Cipó,4304655,RS,1409
Capão do Leão,4304663,RS,12183
Caparaó,3112109,MG,2402
Capela,2701704,AL,5612
Capela,2801306,SE,14512
Capela de Santana,4304689,RS,5361
Capela do Alto,3510302,SP,9795
Capela do Alto Alegre,2906857,BA,6487
Capela Nova,3112208,MG,2351
Capelinha,3112307,MG,17715
Capetinga,3112406,MG,3416
Capim,2504033,PB,2733
Capim Branco,3112505,MG,4763
Capim Grosso,2906873,BA,16807
Capinópolis,3112604,MG,6695
Capinzal,4203907,SC,10318
Capinzal do Norte,2102754,MA,4439
Capistrano,2302909,CE,7639
Capitão,4304697,RS,1213
Capitão Andrade,3112653,MG,2485
Capitão de Campos,2202406,PI,4615
Capitão Enéas,3112703,MG,6400
Capitão Gervásio Oliveira,2202455,PI,2131
Capitão Leônidas Marques,4104600,PR,6664
Capitão Poço,1502301,PA,23019
Capitólio,3112802,MG,6241
Capivari,3510401,SP,20421
Capivari de Baixo,4203956,SC,9480
Capivari do Sul,4304671,RS,1958
Capixaba,1200179,AC,4222
Capoeiras,2603801,PE,7770
Caputira,3112901,MG,3760
Caraá,4304713,RS,4856
Caracaraí,1400209,RR,8631
Caracol,2202505,PI,4510
Caracol,5002803,MS,2478
Caraguatatuba,3510500,SP,85408
Caraí,3113008,MG,9530
Caraíbas,2906899,BA,5018
Carambeí,4104659,PR,9550
Caranaíba,3113107,MG,1487
Carandaí,3113206,MG,10148
Carangola,3113305,MG,15791
Carapebus,3300936,RJ,7002
Carapicuíba,3510609,SP,150667
Caratinga,3113404,MG,43134
Carauari,1301001,AM,8205
Caraúbas,2402303,RN,9418
Caraúbas,2504074,PB,2305
Caraúbas do Piauí,2202539,PI,2342
Caravelas,2906907,BA,10161
Carazinho,4304705,RS,27015
Carbonita,3113503,MG,5248
Cardeal da Silva,2907004,BA,3936
Cardoso,3510708,SP,6663
Cardoso Moreira,3301157,RJ,6440
Careaçu,3113602,MG,3084
Careiro,1301100,AM,13420
Careiro da Várzea,1301159,AM,7726
Cariacica,3201308,ES,152363
Caridade,2303006,CE,7256
Caridade do Piauí,2202554,PI,2280
Carinhanha,2907103,BA,13945
Carira,2801405,SE,9668
Cariré,2303105,CE,8104
Cariri do Tocantins,1703867,TO,1642
Caririaçu,2303204,CE,12607
Cariús,2303303,CE,8244
Carlinda,5102793,MT,5102
Carlópolis,4104709,PR,8063
Carlos Barbosa,4304804,RS,13745
Carlos Chagas,3113701,MG,9224
Carlos Gomes,4304853,RS,638
Carmésia,3113800,MG,1249
Carmo,3301207,RJ,8059
Carmo da Cachoeira,3113909,MG,5250
Carmo da Mata,3114006,MG,5732
Carmo de Minas,3114105,MG,5853
Carmo do Cajuru,3114204,MG,12118
Carmo do Paranaíba,3114303,MG,13931
Carmo do Rio Claro,3114402,MG,11246
Carmo do Rio Verde,5205000,GO,4538
Carmolândia,1703883,TO,900
Carmópolis,2801504,SE,6140
Carmópolis de Minas,3114501,MG,8603
Carnaíba,2603900,PE,10209
Carnaúba dos Dantas,2402402,RN,3592
Carnaubais,2402501,RN,4176
Carnaubal,2303402,CE,7411
Carnaubeira da Penha,2603926,PE,4846
Carneirinho,3114550,MG,4948
Carneiros,2701803,AL,3599
Caroebe,1400233,RR,4059
Carolina,2102804,MA,9989
Carpina,2604007,PE,33293
Carrancas,3114600,MG,2531
Carrapateira,2504108,PB,900
Carrasco Bonito,1703891,TO,1345
Caruaru,2604106,PE,178913
Carutapera,2102903,MA,8268
Carvalhópolis,3114709,MG,1722
Carvalhos,3114808,MG,2453
Casa Branca,3510807,SP,11921
Casa Grande,3114907,MG,1063
Casa Nova,2907202,BA,29593
Casca,4304903,RS,4244
Cascalho Rico,3115003,MG,1780
Cascavel,2303501,CE,34132
Cascavel,4104808,PR,146881
Caseara,1703909,TO,2115
Caseiros,4304952,RS,1325
Casimiro de Abreu,3301306,RJ,24715
Casinhas,2604155,PE,5456
Casserengue,2504157,PB,3481
Cássia,3115102,MG,9437
Cássia dos Coqueiros,3510906,SP,1611
Cassilândia,5002902,MS,10536
Castanhal,1502400,PA,80009
Castanheira,5102850,MT,3711
Castanheiras,1100908,RO,1753
Castelândia,5205059,GO,1613
Castelo,3201407,ES,17259
Castelo do Piauí,2202604,PI,8736
Castilho,3511003,SP,9814
Castro,4104907,PR,30585
Castro Alves,2907301,BA,11168
Cataguases,3115300,MG,31782
Catalão,5205109,GO,49953
Catanduva,3511102,SP,52522
Catanduvas,4105003,PR,3832
Catanduvas,4204004,SC,4282
Catarina,2303600,CE,4905
Catas Altas,3115359,MG,2708
Catas Altas da Noruega,3115409,MG,1594
Catende,2604205,PE,13967
Catiguá,3511201,SP,3075
Catingueira,2504207,PB,2095
Catolândia,2907400,BA,1608
Catolé do Rocha,2504306,PB,13154
Catu,2907509,BA,23225
Catuípe,4305009,RS,3960
Catuji,3115458,MG,3677
Catunda,2303659,CE,4215
Caturaí,5205208,GO,2731
Caturama,2907558,BA,4486
Caturité,2504355,PB,2369
Catuti,3115474,MG,2408
Caucaia,2303709,CE,160137
Cavalcante,5205307,GO,5706
Caxambu,3115508,MG,10978
Caxambu do Sul,4204103,SC,2110
Caxias,2103000,MA,60143
Caxias do Sul,4305108,RS,220438
Caxingó,2202653,PI,2175
Ceará-Mirim,2402600,RN,34272
Cedral,2103109,MA,3759
Cedral,3511300,SP,5626
Cedro,2303808,CE,10461
Cedro,2604304,PE,4415
Cedro de São João,2801603,SE,2552
Cedro do Abaeté,3115607,MG,690
Celso Ramos,4204152,SC,1355
Centenário,1704105,TO,1071
Centenário,4305116,RS,1244
Centenário do Sul,4105102,PR,5227
Central,2907608,BA,7861
Central de Minas,3115706,MG,3616
Central do Maranhão,2103125,MA,2800
Centralina,3115805,MG,4165
Centro do Guilherme,2103158,MA,3943
Centro Novo do Maranhão,2103174,MA,5904
Cerejeiras,1100056,RO,7069
Ceres,5205406,GO,9984
Cerqueira César,3511409,SP,9493
Cerquilho,3511508,SP,18329
Cerrito,4305124,RS,3315
Cerro Azul,4105201,PR,7924
Cerro Branco,4305132,RS,2066
Cerro Corá,2402709,RN,5209
Cerro Grande,4305157,RS,1025
Cerro Grande do Sul,4305173,RS,4670
Cerro Largo,4305207,RS,6248
Cerro Negro,4204178,SC,1604
Cesário Lange,3511607,SP,8035
Céu Azul,4105300,PR,4748
Cezarina,5205455,GO,4363
Chã de Alegria,2604403,PE,5279
Chã Grande,2604502,PE,9464
Chã Preta,2701902,AL,2551
Chácara,3115904,MG,2518
Chalé,3116001,MG,2986
Chapada,4305306,RS,4395
Chapada da Natividade,1705102,TO,1369
Chapada de Areia,1704600,TO,916
Chapada do Norte,3116100,MG,5895
Chapada dos Guimarães,5103007,MT,13205
Chapada Gaúcha,3116159,MG,5080
Chapadão do Céu,5205471,GO,4903
Chapadão do Lageado,4204194,SC,1353
Chapadão do Sul,5002951,MS,12885
Chapadinha,2103208,MA,31620
Chapecó,4204202,SC,101916
Charqueada,3511706,SP,6830
Charqueadas,4305355,RS,13957
Charrua,4305371,RS,1079
Chaval,2303907,CE,5045
Chavantes,3557204,SP,5199
Chaves,1502509,PA,5818
Chiador,3116209,MG,1609
Chiapetta,4305405,RS,1843
Chopinzinho,4105409,PR,9336
Choró,2303931,CE,5064
Chorozinho,2303956,CE,9222
Chorrochó,2907707,BA,4587
Chuí,4305439,RS,3008
Chupinguaia,1100924,RO,4250
Chuvisca,4305447,RS,2116
Cianorte,4105508,PR,34085
Cícero Dantas,2907806,BA,15922
Cidade Gaúcha,4105607,PR,4984
Cidade Ocidental,5205497,GO,38796
Cidelândia,2103257,MA,5523
Cidreira,4305454,RS,23877
Cipó,2907905,BA,7585
Cipotânea,3116308,MG,3052
Ciríaco,4305504,RS,2021
Claraval,3116407,MG,2407
Claro dos Poções,3116506,MG,4484
Cláudia,5103056,MT,4588
Cláudio,3116605,MG,14216
Clementina,3511904,SP,3188
Clevelândia,4105706,PR,6729
Coaraci,2908002,BA,9192
Coari,1301209,AM,21305
Cocal,2202703,PI,11670
Cocal de Telha,2202711,PI,2222
Cocal do Sul,4204251,SC,6992
Cocal dos Alves,2202729,PI,2936
Cocalinho,5103106,MT,3939
Cocalzinho de Goiás,5205513,GO,10861
Cocos,2908101,BA,9297
Codajás,1301308,AM,6655
Codó,2103307,MA,42380
Coelho Neto,2103406,MA,14255
Coimbra,3116704,MG,3790
Coité do Nóia,2702009,AL,4576
Coivaras,2202737,PI,1764
Colares,1502608,PA,5678
Colatina,3201506,ES,55274
Colíder,5103205,MT,13835
Colina,3512001,SP,7547
Colinas,2103505,MA,16331
Colinas,4305587,RS,1137
Colinas do Sul,5205521,GO,2267
Colinas do Tocantins,1705508,TO,13464
Colméia,1716703,TO,4065
Colniza,5103254,MT,11944
Colômbia,3512100,SP,3167
Colombo,4105805,PR,92405
Colônia do Gurguéia,2202752,PI,2845
Colônia do Piauí,2202778,PI,3238
Colônia Leopoldina,2702108,AL,6570
Colorado,4105904,PR,10243
Colorado,4305603,RS,1487
Colorado do Oeste,1100064,RO,8150
Coluna,3116803,MG,3854
Combinado,1705557,TO,2180
Comendador Gomes,3116902,MG,1551
Comendador Levy Gasparian,3300951,RJ,3788
Comercinho,3117009,MG,4025
Comodoro,5103304,MT,8751
Conceição,2504405,PB,8602
Conceição da Aparecida,3117108,MG,5362
Conceição da Barra,3201605,ES,14049
Conceição da Barra de Minas,3115201,MG,1924
Conceição da Feira,2908200,BA,8848
Conceição das Alagoas,3117306,MG,11524
Conceição das Pedras,3117207,MG,1284
Conceição de Ipanema,3117405,MG,2181
Conceição de Macabu,3301405,RJ,10566
Conceição do Almeida,2908309,BA,7168
Conceição do Araguaia,1502707,PA,19636
Conceição do Canindé,2202802,PI,2426
Conceição do Castelo,3201704,ES,5666
Conceição do Coité,2908408,BA,33508
Conceição do Jacuípe,2908507,BA,15802
Conceição do Lago-Açu,2103554,MA,4828
Conceição do Mato Dentro,3117504,MG,12374
Conceição do Pará,3117603,MG,4029
Conceição do Rio Verde,3117702,MG,6100
Conceição do Tocantins,1705607,TO,1833
Conceição dos Ouros,3117801,MG,4995
Conchal,3512209,SP,11296
Conchas,3512308,SP,7911
Concórdia,4204301,SC,34778
Concórdia do Pará,1502756,PA,9660
Condado,2504504,PB,3062
Condado,2604601,PE,9882
Conde,2504603,PB,17952
Conde,2908606,BA,12747
Condeúba,2908705,BA,8124
Condor,4305702,RS,2793
Cônego Marinho,3117836,MG,3226
Confins,3117876,MG,3359
Confresa,5103353,MT,14369
Congo,2504702,PB,2816
Congonhal,3117900,MG,5633
Congonhas,3118007,MG,22740
Congonhas do Norte,3118106,MG,2723
Congonhinhas,4106001,PR,4063
Conquista,3118205,MG,3586
Conquista D'Oeste,5103361,MT,1652
Conselheiro Lafaiete,3118304,MG,58285
Conselheiro Mairinck,4106100,PR,1647
Conselheiro Pena,3118403,MG,11321
Consolação,3118502,MG,895
Constantina,4305801,RS,4223
Contagem,3118601,MG,267758
Contenda,4106209,PR,8360
Contendas do Sincorá,2908804,BA,2186
Coqueiral,3118700,MG,4452
Coqueiro Baixo,4305835,RS,688
Coqueiro Seco,2702207,AL,2239
Coqueiros do Sul,4305850,RS,1108
Coração de Jesus,3118809,MG,13116
Coração de Maria,2908903,BA,12536
Corbélia,4106308,PR,7288
Cordeiro,3301504,RJ,9635
Cordeirópolis,3512407,SP,9894
Cordeiros,2909000,BA,3492
Cordilheira Alta,4204350,SC,1883
Cordisburgo,3118908,MG,4361
Cordislândia,3119005,MG,1724
Coreaú,2304004,CE,9780
Coremas,2504801,PB,6816
Corguinho,5003108,MS,3480
Coribe,2909109,BA,7437
Corinto,3119104,MG,11012
Cornélio Procópio,4106407,PR,21294
Coroaci,3119203,MG,4337
Coroados,3512506,SP,2515
Coroatá,2103604,MA,23416
Coromandel,3119302,MG,15097
Coronel Barros,4305871,RS,1358
Coronel Bicaco,4305900,RS,2877
Coronel Domingos Soares,4106456,PR,2698
Coronel Ezequiel,2402808,RN,2879
Coronel Fabriciano,3119401,MG,43598
Coronel Freitas,4204400,SC,4258
Coronel João Pessoa,2402907,RN,1878
Coronel João Sá,2909208,BA,8118
Coronel José Dias,2202851,PI,2165
Coronel Macedo,3512605,SP,2169
Coronel Martins,4204459,SC,917
Coronel Murta,3119500,MG,3774
Coronel Pacheco,3119609,MG,1596
Coronel Pilar,4305934,RS,798
Coronel Sapucaia,5003157,MS,5041
Coronel Vivida,4106506,PR,9930
Coronel Xavier Chaves,3119708,MG,1867
Córrego Danta,3119807,MG,2079
Córrego do Bom Jesus,3119906,MG,2699
Córrego do Ouro,5205703,GO,1555
Córrego Fundo,3119955,MG,2927
Córrego Novo,3120003,MG,1379
Correia Pinto,4204558,SC,6972
Corrente,2202901,PI,11533
Correntes,2604700,PE,6439
Correntina,2909307,BA,15964
Cortês,2604809,PE,4477
Corumbá,5003207,MS,38050
Corumbá de Goiás,5205802,GO,5416
Corumbaíba,5205901,GO,5077
Corumbataí,3512704,SP,2292
Corumbataí do Sul,4106555,PR,1772
Corumbiara,1100072,RO,3960
Corupá,4204509,SC,6301
Coruripe,2702306,AL,21504
Cosmópolis,3512803,SP,25899
Cosmorama,3512902,SP,4267
Costa Marques,1100080,RO,5854
Costa Rica,5003256,MS,11104
Cotegipe,2909406,BA,6675
Cotia,3513009,SP,119375
Cotiporã,4305959,RS,1854
Cotriguaçu,5103379,MT,5281
Couto de Magalhães de Minas,3120102,MG,2110
Couto Magalhães,1706001,TO,2549
Coxilha,4305975,RS,1308
Coxim,5003306,MS,16101
Coxixola,2504850,PB,1006
Craíbas,2702355,AL,10095
Crateús,2304103,CE,34293
Crato,2304202,CE,56702
Cravinhos,3513108,SP,13019
Cravolândia,2909505,BA,2333
Criciúma,4204608,SC,91348
Crisólita,3120151,MG,2639
Crisópolis,2909604,BA,10228
Crissiumal,4306007,RS,6127
Cristais,3120201,MG,5799
Cristais Paulista,3513207,SP,4665
Cristal,4306056,RS,3540
Cristal do Sul,4306072,RS,1263
Cristalândia,1706100,TO,2987
Cristalândia do Piauí,2203008,PI,3208
Cristália,3120300,MG,2849
Cristalina,5206206,GO,25534
Cristiano Otoni,3120409,MG,2184
Cristianópolis,5206305,GO,1755
Cristina,3120508,MG,4612
Cristinápolis,2801702,SE,7334
Cristino Castro,2203107,PI,4409
Cristópolis,2909703,BA,6155
Crixás,5206404,GO,7941
Crixás do Tocantins,1706258,TO,680
Croatá,2304236,CE,8493
Cromínia,5206503,GO,2093
Crucilândia,3120607,MG,3139
Cruz,2304251,CE,13842
Cruz Alta,4306106,RS,27132
Cruz das Almas,2909802,BA,28010
Cruz do Espírito Santo,2504900,PB,6339
Cruz Machado,4106803,PR,7292
Cruzália,3513306,SP,979
Cruzaltense,4306130,RS,793
Cruzeiro,3513405,SP,30750
Cruzeiro da Fortaleza,3120706,MG,1516
Cruzeiro do Iguaçu,4106571,PR,2003
Cruzeiro do Oeste,4106605,PR,10435
Cruzeiro do Sul,1200203,AC,31869
Cruzeiro do Sul,4106704,PR,2105
Cruzeiro do Sul,4306205,RS,5723
Cruzeta,2403004,RN,3639
Cruzília,3120805,MG,7809
Cruzmaltina,4106852,PR,1419
Cubatão,3513504,SP,46524
Cubati,2505006,PB,3523
Cuiabá,5103403,MT,279657
Cuité,2505105,PB,10717
Cuité de Mamanguape,2505238,PB,2695
Cuitegi,2505204,PB,2787
Cujubim,1100940,RO,7604
Cumari,5206602,GO,1830
Cumaru,2604908,PE,7752
Cumaru do Norte,1502764,PA,5101
Cumbe,2801900,SE,2037
Cunha,3513603,SP,13113
Cunha Porã,4204707,SC,4637
Cunhataí,4204756,SC,774
Cuparaque,3120839,MG,2270
Cupira,2605004,PE,10832
Curaçá,2909901,BA,14943
Curimatá,2203206,PI,5264
Curionópolis,1502772,PA,9067
Curitiba,4106902,PR,789846
Curitibanos,4204806,SC,17071
Curiúva,4107009,PR,6135
Currais,2203230,PI,2221
Currais Novos,2403103,RN,18201
Curral de Cima,2505279,PB,2282
Curral de Dentro,3120870,MG,3278
Curral Novo do Piauí,2203271,PI,2264
Curral Velho,2505303,PB,978
Curralinho,1502806,PA,9649
Curralinhos,2203255,PI,1973
Curuá,1502855,PA,5183
Curuçá,1502905,PA,15589
Cururupu,2103703,MA,12450
Curvelândia,5103437,MT,2372
Curvelo,3120904,MG,37360
Custódia,2605103,PE,18018
Cutias,1600212,AP,1514
Damianópolis,5206701,GO,1975
Damião,2505352,PB,2603
Damolândia,5206800,GO,1437
Darcinópolis,1706506,TO,2595
Dário Meira,2910008,BA,5163
Datas,3121001,MG,2474
David Canabarro,4306304,RS,1966
Davinópolis,2103752,MA,5924
Davinópolis,5206909,GO,1317
Delfim Moreira,3121100,MG,4487
Delfinópolis,3121209,MG,4874
Delmiro Gouveia,2702405,AL,23341
Delta,3121258,MG,4263
Demerval Lobão,2203305,PI,8100
Denise,5103452,MT,3046
Deodápolis,5003454,MS,6387
Deputado Irapuan Pinheiro,2304269,CE,4054
Derrubadas,4306320,RS,1216
Descalvado,3513702,SP,13867
Descanso,4204905,SC,3612
Descoberto,3121308,MG,2659
Desterro,2505402,PB,4088
Desterro de Entre Rios,3121407,MG,4484
Desterro do Melo,3121506,MG,1561
Dezesseis de Novembro,4306353,RS,1431
Diadema,3513801,SP,161648
Diamante,2505600,PB,3006
Diamante D'Oeste,4107157,PR,2073
Diamante do Norte,4107108,PR,2206
Diamante do Sul,4107124,PR,1596
Diamantina,3121605,MG,24765
Diamantino,5103502,MT,9548
Dianópolis,1707009,TO,7405
Dias d'Ávila,2910057,BA,36003
Dilermando de Aguiar,4306379,RS,1711
Diogo de Vasconcelos,3121704,MG,2000
Dionísio,3121803,MG,3493
Dionísio Cerqueira,4205001,SC,6710
Diorama,5207105,GO,1174
Dirce Reis,3513850,SP,879
Dirceu Arcoverde,2203354,PI,3128
Divina Pastora,2802007,SE,1888
Divinésia,3121902,MG,2206
Divino,3122009,MG,9761
Divino das Laranjeiras,3122108,MG,2299
Divino de São Lourenço,3201803,ES,2577
Divinolândia,3513900,SP,5339
Divinolândia de Minas,3122207,MG,3100
Divinópolis,3122306,MG,106845
Divinópolis de Goiás,5208301,GO,2261
Divinópolis do Tocantins,1707108,TO,3407
Divisa Alegre,3122355,MG,2650
Divisa Nova,3122405,MG,2657
Divisópolis,3122454,MG,4008
Dobrada,3514007,SP,3522
Dois Córregos,3514106,SP,12300
Dois Irmãos,4306403,RS,13541
Dois Irmãos das Missões,4306429,RS,956
Dois Irmãos do Buriti,5003488,MS,5090
Dois Irmãos do Tocantins,1707207,TO,3126
Dois Lajeados,4306452,RS,1489
Dois Riachos,2702504,AL,4199
Dois Vizinhos,4107207,PR,19013
